cluster_id	rho_rp3v	rho_arc	delta_rp3v_minus_arc	label	parent_supertype	mfr	top_anat	top_anat_n	delta_arc_minus_rp3v
CS20230722_CLUS_1707	0.3621565404067915	0.28108236388348257	0.08107417652330895	1707 AHN Onecut3 Gaba_2	CS20230722_SUPT_0457	4.56	Perifornical nucleus	17.0	-0.08107417652330895
CS20230722_CLUS_1701	0.3307577610319892	0.24982134133483416	0.08093641969715501	1701 AHN Onecut3 Gaba_1	CS20230722_SUPT_0456	5.67	Anterior hypothalamic nucleus	14.0	-0.08093641969715501
CS20230722_CLUS_1708	0.3321056589655088	0.251174858063131	0.08093080090237781	1708 AHN Onecut3 Gaba_2	CS20230722_SUPT_0457	4.88	Anterior hypothalamic nucleus	19.0	-0.08093080090237781
CS20230722_CLUS_1948	0.35468696010681083	0.27387637908752904	0.08081058101928179	1948 DMH Hmx2 Gaba_4	CS20230722_SUPT_0490	1.94	Dorsomedial nucleus of the hypothalamus	20.0	-0.08081058101928179
CS20230722_CLUS_0519	0.2875530625508936	0.20677576267355857	0.08077729987733501	0519 OB Meis2 Thsd7b Gaba_1	CS20230722_SUPT_0143	1.56	Main olfactory bulb	617.0	-0.08077729987733501
CS20230722_CLUS_1472	0.37279728665468226	0.2921694343009792	0.08062785235370307	1472 MPO-ADP Lhx8 Gaba_4	CS20230722_SUPT_0405	1.13	Parastrial nucleus	7.0	-0.08062785235370307
CS20230722_CLUS_1063	0.3560135094405067	0.2756972543339909	0.0803162551065158	1063 LSX Otx2 Gaba_3	CS20230722_SUPT_0303	1.44	Lateral septal nucleus, ventral part	18.0	-0.0803162551065158
CS20230722_CLUS_1624	0.34068838481502534	0.26040292865659487	0.08028545615843047	1624 DMH Prdm13 Gaba_2	CS20230722_SUPT_0440	1.56	Dorsomedial nucleus of the hypothalamus	16.0	-0.08028545615843047
CS20230722_CLUS_1531	0.3492862810856108	0.26902010886105054	0.08026617222456023	1531 PVR Six3 Sox3 Gaba_9	CS20230722_SUPT_0419	1.13	Median preoptic nucleus	14.0	-0.08026617222456023
CS20230722_CLUS_1906	0.3770779068454532	0.2969715809526809	0.08010632589277233	1906 PVpo-VMPO-MPN Hmx2 Gaba_3	CS20230722_SUPT_0484	1.56	Hypothalamus	20.0	-0.08010632589277233
CS20230722_CLUS_1534	0.33986537312779735	0.25978059323351094	0.08008477989428642	1534 PVR Six3 Sox3 Gaba_9	CS20230722_SUPT_0419	1.17	Medial septal nucleus	7.0	-0.08008477989428642
CS20230722_CLUS_1645	0.33670032567714553	0.25664736762499174	0.08005295805215379	1645 PVHd-SBPV Six3 Prox1 Gaba_4	CS20230722_SUPT_0445	4.0	Subparaventricular zone	18.0	-0.08005295805215379
CS20230722_CLUS_4736	0.3414239131282997	0.26152273317177943	0.0799011799565203	4736 LDT-PCG-CS Gata3 Lhx1 Gaba_1	CS20230722_SUPT_1056	0.89	Laterodorsal tegmental nucleus	8.0	-0.0799011799565203
CS20230722_CLUS_1702	0.33207629876947653	0.25219832703425865	0.07987797173521788	1702 AHN Onecut3 Gaba_1	CS20230722_SUPT_0456	4.88	Anterior hypothalamic nucleus	19.0	-0.07987797173521788
CS20230722_CLUS_4820	0.3283449274423807	0.2484906265159754	0.0798543009264053	4820 PRP Otp Gly-Gaba_1	CS20230722_SUPT_1083	0.47	Magnocellular reticular nucleus	9.0	-0.0798543009264053
CS20230722_CLUS_1647	0.34780135536012	0.26795862494978656	0.07984273041033346	1647 AHN-SBPV-PVHd Pdrm12 Gaba_1	CS20230722_SUPT_0446	2.12	Anterior hypothalamic nucleus	43.0	-0.07984273041033346
CS20230722_CLUS_1956	0.3661408954108982	0.286485463623839	0.07965543178705925	1956 DMH Hmx2 Gaba_5	CS20230722_SUPT_0491	0.67	Hypothalamus	69.0	-0.07965543178705925
CS20230722_CLUS_0518	0.3082740488773287	0.22864084483802705	0.07963320403930163	0518 OB Meis2 Thsd7b Gaba_1	CS20230722_SUPT_0143	1.13	Piriform area	87.0	-0.07963320403930163
CS20230722_CLUS_1801	0.33786629891798214	0.25828686712569354	0.0795794317922886	1801 DMH-LHA Gsx1 Gaba_2	CS20230722_SUPT_0471	0.56	Lateral hypothalamic area	14.0	-0.0795794317922886
CS20230722_CLUS_5124	0.3334469123450204	0.25400205121381875	0.07944486113120164	5124 SPVI-SPVC Sall3 Nfib Gly-Gaba_1	CS20230722_SUPT_1136	0.67	Copula pyramidis	1.0	-0.07944486113120164
CS20230722_CLUS_1907	0.3321383340793155	0.25271549777484276	0.07942283630447272	1907 PVpo-VMPO-MPN Hmx2 Gaba_3	CS20230722_SUPT_0484	2.7	Periventricular hypothalamic nucleus, preoptic part	13.0	-0.07942283630447272
CS20230722_CLUS_3508	0.3597985240336078	0.2804160573636165	0.07938246666999127	3508 IC Six3 En2 Gaba_7	CS20230722_SUPT_0813	0.89	Midbrain	16.0	-0.07938246666999127
CS20230722_CLUS_1512	0.32640515618847626	0.24707289616851133	0.07933226001996493	1512 PVR Six3 Sox3 Gaba_3	CS20230722_SUPT_0413	3.35	Anterior hypothalamic nucleus	13.0	-0.07933226001996493
CS20230722_CLUS_3467	0.3623519614150613	0.2831206408401745	0.0792313205748868	3467 IC Six3 En2 Gaba_1	CS20230722_SUPT_0807	1.13	Inferior colliculus, dorsal nucleus	125.0	-0.0792313205748868
CS20230722_CLUS_1655	0.337175433815048	0.2579979813721731	0.07917745244287488	1655 AHN-SBPV-PVHd Pdrm12 Gaba_2	CS20230722_SUPT_0447	2.7	Anterior hypothalamic nucleus	59.0	-0.07917745244287488
CS20230722_CLUS_1709	0.3492188874925506	0.2701053319202725	0.07911355557227812	1709 AHN Onecut3 Gaba_2	CS20230722_SUPT_0457	1.56	Perifornical nucleus	13.0	-0.07911355557227812
CS20230722_CLUS_4341	0.3543651436162319	0.2753390069309936	0.07902613668523828	4341 PGRN-PARN-MDRN Hoxb5 Glut_2	CS20230722_SUPT_0974	1.22	Pontine reticular nucleus, caudal part	40.0	-0.07902613668523828
CS20230722_CLUS_1506	0.3517079976551731	0.2727140200491338	0.07899397760603927	1506 PVR Six3 Sox3 Gaba_1	CS20230722_SUPT_0411	0.85	Striatum	16.0	-0.07899397760603927
CS20230722_CLUS_1696	0.33137002396089965	0.25239606991697794	0.07897395404392171	1696 SBPV-PVa Six6 Satb2 Gaba_3	CS20230722_SUPT_0455	3.0	Paraventricular hypothalamic nucleus	4.0	-0.07897395404392171
CS20230722_CLUS_1507	0.33845343289995594	0.2596061191905486	0.07884731370940734	1507 PVR Six3 Sox3 Gaba_1	CS20230722_SUPT_0411	1.04	Anteroventral periventricular nucleus	20.0	-0.07884731370940734
CS20230722_CLUS_1946	0.34814279994317504	0.2693961517830676	0.07874664816010746	1946 DMH Hmx2 Gaba_4	CS20230722_SUPT_0490	2.03	Dorsomedial nucleus of the hypothalamus	25.0	-0.07874664816010746
CS20230722_CLUS_1536	0.33983338817649333	0.2611451194920334	0.07868826868445994	1536 PVR Six3 Sox3 Gaba_9	CS20230722_SUPT_0419	1.0	Medial preoptic area	29.0	-0.07868826868445994
CS20230722_CLUS_0992	0.319380508573847	0.2407788472704806	0.07860166130336638	0992 STR D1 Sema5a Gaba_2	CS20230722_SUPT_0282	1.13	Nucleus accumbens	597.0	-0.07860166130336638
CS20230722_CLUS_1511	0.3547844490163828	0.27630756839810805	0.07847688061827474	1511 PVR Six3 Sox3 Gaba_3	CS20230722_SUPT_0413	2.23	Anterior hypothalamic nucleus	19.0	-0.07847688061827474
CS20230722_CLUS_1942	0.3536614102234147	0.27522071518212454	0.07844069504129014	1942 DMH Hmx2 Gaba_3	CS20230722_SUPT_0489	1.78	Dorsomedial nucleus of the hypothalamus	80.0	-0.07844069504129014
CS20230722_CLUS_1504	0.33647318938259846	0.2580796082249934	0.07839358115760509	1504 PVR Six3 Sox3 Gaba_1	CS20230722_SUPT_0411	1.08	Medial septal nucleus	26.0	-0.07839358115760509
CS20230722_CLUS_1663	0.3354316341258901	0.25707260742841553	0.07835902669747458	1663 AHN-SBPV-PVHd Pdrm12 Gaba_4	CS20230722_SUPT_0449	2.23	Anterior hypothalamic nucleus	14.0	-0.07835902669747458
CS20230722_CLUS_1657	0.3387865373101679	0.2604454097835495	0.07834112752661837	1657 AHN-SBPV-PVHd Pdrm12 Gaba_3	CS20230722_SUPT_0448	2.33	Anterior hypothalamic nucleus	71.0	-0.07834112752661837
CS20230722_CLUS_1695	0.32983798032454925	0.2515319419553682	0.07830603836918104	1695 SBPV-PVa Six6 Satb2 Gaba_3	CS20230722_SUPT_0455	3.17	Hypothalamus	7.0	-0.07830603836918104
CS20230722_CLUS_1646	0.33064015789365353	0.25238332743073344	0.07825683046292009	1646 PVHd-SBPV Six3 Prox1 Gaba_4	CS20230722_SUPT_0445	2.7	Subparaventricular zone	9.0	-0.07825683046292009
CS20230722_CLUS_1882	0.3359320015364937	0.25770328633566414	0.07822871520082958	1882 PVpo-VMPO-MPN Hmx2 Gaba_1	CS20230722_SUPT_0482	1.38	optic chiasm	24.0	-0.07822871520082958
CS20230722_CLUS_1875	0.3409182631548806	0.2626907543153716	0.07822750883950902	1875 PVpo-VMPO-MPN Hmx2 Gaba_1	CS20230722_SUPT_0482	1.38	optic chiasm	23.0	-0.07822750883950902
