# metadata = mmc_output.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
O104,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,0.9800,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O106,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.7900
O109,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.8200
O111,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.9200
O113,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9900,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O117,CS20230722_CLAS_07,07 CTX-MGE GABA,0.5500,CS20230722_SUBC_052,052 Pvalb Gaba,0.9800,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.9500
O125,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.9400
O127,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O128,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O129,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.9100
O130,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O131,CS20230722_CLAS_34,34 Immune,0.8000,CS20230722_SUBC_334,334 Microglia NN,1.0000,CS20230722_SUPT_1194,1194 Microglia NN_1,1.0000,CS20230722_CLUS_5312,5312 Microglia NN_1,5283,1.0000
O132,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O134,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O135,CS20230722_CLAS_07,07 CTX-MGE GABA,0.9300,CS20230722_SUBC_052,052 Pvalb Gaba,0.9500,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,0.9500,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.7300
O137,CS20230722_CLAS_07,07 CTX-MGE GABA,0.7900,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O141,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O145,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
