source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Chrna2,class,07 CTX-MGE GABA,153,1.0,0.099609375,0.1811722912966252,0.9868627450980393,1.0
Ndnf,class,01 IT-ET Glut,1,0.06666666666666667,1.0,0.125,0.94,0.94
Ndnf,class,06 CTX-CGE GABA,11,0.7333333333333333,0.006329113924050633,0.012549914432401598,0.9318181818181818,0.97
Ndnf,class,07 CTX-MGE GABA,3,0.2,0.001953125,0.0038684719535783366,0.9533333333333333,0.96
Sst_Nos1,class,08 CNU-MGE GABA,33,1.0,0.8918918918918919,0.9428571428571428,0.9896969696969696,1.0
Sst_Tac1,class,07 CTX-MGE GABA,167,0.9940476190476191,0.10872395833333333,0.19600938967136153,0.9769461077844311,1.0
Sst_Tac1,class,08 CNU-MGE GABA,1,0.005952380952380952,0.02702702702702703,0.00975609756097561,1.0,1.0
Sst_other,class,06 CTX-CGE GABA,117,0.1414752116082225,0.06731875719217491,0.09122807017543859,0.9993162393162394,1.0
Sst_other,class,07 CTX-MGE GABA,706,0.8536880290205562,0.4596354166666667,0.5975454930173508,0.9774787535410765,1.0
Sst_other,class,08 CNU-MGE GABA,3,0.0036275695284159614,0.08108108108108109,0.006944444444444444,0.87,0.83
Sst_other,class,30 Astro-Epen,1,0.0012091898428053204,1.0,0.0024154589371980675,0.9,0.9
non_Sst,class,02 NP-CT-L6b Glut,1,0.0004710315591144607,1.0,0.0009416195856873823,0.83,0.83
non_Sst,class,03 OB-CR Glut,3,0.001413094677343382,1.0,0.0028222013170272815,0.9500000000000001,0.97
non_Sst,class,06 CTX-CGE GABA,1610,0.7583608101742817,0.9263521288837745,0.833980833980834,0.9850807453416149,1.0
non_Sst,class,07 CTX-MGE GABA,507,0.23881300047103157,0.330078125,0.2771248975129817,0.9487179487179487,0.98
non_Sst,class,09 CNU-LGE GABA,1,0.0004710315591144607,1.0,0.0009416195856873823,0.89,0.89
non_Sst,class,10 LSX GABA,1,0.0004710315591144607,1.0,0.0009416195856873823,0.96,0.96
Chrna2,subclass,053 Sst Gaba,158,1.0,0.17458563535911603,0.297271872060207,0.9994303797468355,1.0
Ndnf,subclass,023 SUB-ProS Glut,1,0.058823529411764705,1.0,0.1111111111111111,1.0,1.0
Ndnf,subclass,046 Vip Gaba,1,0.058823529411764705,0.0021231422505307855,0.004098360655737704,0.83,0.83
Ndnf,subclass,047 Sncg Gaba,1,0.058823529411764705,0.0018050541516245488,0.003502626970227671,0.88,0.88
Ndnf,subclass,048 RHP-COA Ndnf Gaba,1,0.058823529411764705,0.003205128205128205,0.006079027355623099,1.0,1.0
Ndnf,subclass,049 Lamp5 Gaba,6,0.35294117647058826,0.020689655172413793,0.03908794788273616,0.9633333333333333,0.975
Ndnf,subclass,050 Lamp5 Lhx6 Gaba,2,0.11764705882352941,0.006024096385542169,0.011461318051575931,1.0,1.0
Ndnf,subclass,053 Sst Gaba,4,0.23529411764705882,0.004419889502762431,0.008676789587852497,0.9375,0.95
Ndnf,subclass,319 Astro-TE NN,1,0.058823529411764705,0.125,0.07999999999999999,1.0,1.0
Sst_Nos1,subclass,056 Sst Chodl Gaba,35,1.0,0.9722222222222222,0.9859154929577464,0.9991428571428571,1.0
Sst_Tac1,subclass,050 Lamp5 Lhx6 Gaba,2,0.012422360248447204,0.006024096385542169,0.008113590263691683,0.95,0.95
Sst_Tac1,subclass,051 Pvalb chandelier Gaba,2,0.012422360248447204,0.012658227848101266,0.012539184952978056,0.875,0.875
Sst_Tac1,subclass,052 Pvalb Gaba,126,0.782608695652174,0.4581818181818182,0.5779816513761469,0.9621428571428572,0.99
Sst_Tac1,subclass,053 Sst Gaba,30,0.18633540372670807,0.03314917127071823,0.05628517823639775,0.9736666666666667,1.0
Sst_Tac1,subclass,054 STR Prox1 Lhx6 Gaba,1,0.006211180124223602,0.3333333333333333,0.012195121951219511,0.99,0.99
Sst_other,subclass,047 Sncg Gaba,119,0.14016489988221437,0.2148014440433213,0.16963649322879543,0.9957983193277311,1.0
Sst_other,subclass,052 Pvalb Gaba,10,0.011778563015312132,0.03636363636363636,0.017793594306049824,0.9279999999999999,0.98
Sst_other,subclass,053 Sst Gaba,712,0.8386336866902238,0.7867403314917127,0.8118586088939567,0.9962359550561799,1.0
Sst_other,subclass,054 STR Prox1 Lhx6 Gaba,1,0.001177856301531213,0.3333333333333333,0.0023474178403755865,0.89,0.89
Sst_other,subclass,056 Sst Chodl Gaba,1,0.001177856301531213,0.027777777777777776,0.002259887005649717,1.0,1.0
Sst_other,subclass,076 MEA-BST Lhx6 Nfib Gaba,4,0.004711425206124852,1.0,0.009378663540445486,0.9375,0.9650000000000001
Sst_other,subclass,319 Astro-TE NN,2,0.002355712603062426,0.25,0.004667444574095682,1.0,1.0
non_Sst,subclass,033 NP SUB Glut,1,0.00046882325363338024,1.0,0.0009372071227741331,0.87,0.87
non_Sst,subclass,036 HPF CR Glut,3,0.0014064697609001407,1.0,0.0028089887640449437,1.0,1.0
non_Sst,subclass,046 Vip Gaba,470,0.2203469292076887,0.9978768577494692,0.3609831029185868,0.9717234042553191,0.99
non_Sst,subclass,047 Sncg Gaba,434,0.20346929207688702,0.7833935018050542,0.3230368440640119,0.9750691244239631,1.0
non_Sst,subclass,048 RHP-COA Ndnf Gaba,311,0.14580403187998126,0.9967948717948718,0.25439672801635993,0.977749196141479,1.0
non_Sst,subclass,049 Lamp5 Gaba,284,0.13314580403187998,0.9793103448275862,0.23442014032191497,0.9871830985915493,1.0
non_Sst,subclass,050 Lamp5 Lhx6 Gaba,328,0.1537740271917487,0.9879518072289156,0.2661257606490873,0.9982012195121952,1.0
non_Sst,subclass,051 Pvalb chandelier Gaba,156,0.07313642756680731,0.9873417721518988,0.13618507202095156,0.951602564102564,0.97
non_Sst,subclass,052 Pvalb Gaba,139,0.06516643225503985,0.5054545454545455,0.11544850498338871,0.9885611510791367,1.0
non_Sst,subclass,053 Sst Gaba,1,0.00046882325363338024,0.0011049723756906078,0.0006583278472679394,0.96,0.96
non_Sst,subclass,054 STR Prox1 Lhx6 Gaba,1,0.00046882325363338024,0.3333333333333333,0.0009363295880149813,0.98,0.98
non_Sst,subclass,319 Astro-TE NN,5,0.0023441162681669013,0.625,0.004670714619336759,0.998,1.0
