source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
MLI1_1,class,28 CB GABA,10980,1.0,0.24155227032734952,0.3891133319157984,1.0
MLI1_1,subclass,311 CBX MLI Megf11 Gaba,10979,1.0,0.33687214261605963,0.5039706219876061,1.0
MLI1_1,supertype,1149 CBX MLI Megf11 Gaba_1,10985,0.9990904956798545,0.33678756476683935,0.5037604329083738,1.0
MLI1_1,cluster,5188 CBX MLI Megf11 Gaba_1,10956,0.9993614886436194,0.3403858700717681,0.5078099652375434,1.0
MLI1_2,class,28 CB GABA,21513,1.0,0.47327085533262936,0.6424763696635757,1.0
MLI1_2,subclass,311 CBX MLI Megf11 Gaba,21542,0.9998607565560454,0.6609800251603203,0.7958474951972808,1.0
MLI1_2,supertype,1149 CBX MLI Megf11 Gaba_1,21521,0.9991643066066206,0.6598093018977834,0.7947780486003398,1.0
MLI1_2,cluster,5188 CBX MLI Megf11 Gaba_1,21208,0.9987755486483941,0.6588995557212539,0.7939948709309074,1.0
MLI2,class,28 CB GABA,10535,1.0,0.23176258359732488,0.376310478469754,1.0
MLI2,subclass,312 CBX MLI Cdh22 Gaba,9803,0.987807335751713,0.9995921280717854,0.9936647914449342,1.0
MLI2,supertype,1151 CBX MLI Cdh22 Gaba_1,10263,0.9783603431839848,0.9982491975488765,0.9882047084877954,1.0
MLI2,cluster,5192 CBX MLI Cdh22 Gaba_1,9801,0.9919036534763688,0.9995920448750637,0.9957330082291984,1.0
PLI_1,class,28 CB GABA,1172,1.0,0.02578317493840197,0.05027022389980269,1.0
PLI_1,subclass,309 CB PLI Gly-Gaba,1106,0.9981949458483754,0.45930232558139533,0.6291240045506257,1.0
PLI_1,supertype,1144 CB PLI Gly-Gaba_1,1059,0.9531953195319532,0.5761697497279652,0.7182095625635809,1.0
PLI_1,cluster,5178 CB PLI Gly-Gaba_1,898,0.9383490073145245,0.9492600422832981,0.9437729900157645,1.0
PLI_2,class,28 CB GABA,732,1.0,0.016103484688489968,0.0316965445570278,1.0
PLI_2,subclass,309 CB PLI Gly-Gaba,723,0.9917695473251029,0.30024916943521596,0.460949952183615,1.0
PLI_2,supertype,1144 CB PLI Gly-Gaba_1,702,0.9736477115117892,0.381936887921654,0.548651817116061,1.0
PLI_2,cluster,5177 CB PLI Gly-Gaba_1,523,0.8301587301587302,0.9256637168141593,0.8753138075313807,1.0
PLI_3,class,28 CB GABA,524,0.9980952380952381,0.011527631115804295,0.022792022792022793,1.0
PLI_3,subclass,309 CB PLI Gly-Gaba,524,0.9924242424242424,0.21760797342192692,0.3569482288828338,1.0
PLI_3,supertype,1145 CB PLI Gly-Gaba_2,465,0.9432048681541582,0.976890756302521,0.959752321981424,1.0
PLI_3,cluster,5180 CB PLI Gly-Gaba_2,218,0.48769574944071586,0.9864253393665159,0.652694610778443,1.0
