# metadata = mmc_extended.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
H60,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
Som5,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0771,0771 Sst Gaba_3,542,1.0000
Som6,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0767,0767 Sst Gaba_3,533,1.0000
Som7,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0774,0774 Sst Gaba_3,545,1.0000
Som9,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0771,0771 Sst Gaba_3,542,0.5500
Som11,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,0.6900
Som14,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
Som17,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0768,0768 Sst Gaba_3,535,1.0000
Som43,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,0.7100,CS20230722_CLUS_0772,0772 Sst Gaba_3,543,0.5300
Som45,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_053,053 Sst Gaba,1.0000,CS20230722_SUPT_0216,0216 Sst Gaba_3,1.0000,CS20230722_CLUS_0774,0774 Sst Gaba_3,545,0.7400
