# metadata = mapping_result.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.2
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
Q5_A01_Plate_Q5_144,CS20230722_CLAS_33,33 Vascular,0.7700,CS20230722_SUBC_330,330 VLMC NN,0.7900,CS20230722_SUPT_1187,1187 VLMC NN_1,0.4100,CS20230722_CLUS_5299,5299 VLMC NN_1,5266,0.9300
Q5_D01_Plate_Q5_144,CS20230722_CLAS_34,34 Immune,0.4100,CS20230722_SUBC_335,335 BAM NN,0.4500,CS20230722_SUPT_1195,1195 BAM NN_1,1.0000,CS20230722_CLUS_5313,5313 BAM NN_1,5267,1.0000
Q5_E01_Plate_Q5_144,CS20230722_CLAS_33,33 Vascular,0.8100,CS20230722_SUBC_330,330 VLMC NN,0.4600,CS20230722_SUPT_1188,1188 VLMC NN_2,0.7800,CS20230722_CLUS_5300,5300 VLMC NN_2,5262,1.0000
Q5_H01_Plate_Q5_144,CS20230722_CLAS_11,11 CNU-HYa GABA,0.1500,CS20230722_SUBC_082,082 CEA-BST Ebf1 Pdyn Gaba,0.2500,CS20230722_SUPT_0391,0391 CEA-BST Ebf1 Pdyn Gaba_8,0.2700,CS20230722_CLUS_1406,1406 CEA-BST Ebf1 Pdyn Gaba_8,1833,0.9300
Q5_A02_Plate_Q5_144,CS20230722_CLAS_11,11 CNU-HYa GABA,0.9400,CS20230722_SUBC_082,082 CEA-BST Ebf1 Pdyn Gaba,1.0000,CS20230722_SUPT_0388,0388 CEA-BST Ebf1 Pdyn Gaba_5,0.7100,CS20230722_CLUS_1401,1401 CEA-BST Ebf1 Pdyn Gaba_5,1830,0.4900
Q5_B02_Plate_Q5_144,CS20230722_CLAS_08,08 CNU-MGE GABA,1.0000,CS20230722_SUBC_058,058 PAL-STR Gaba-Chol,1.0000,CS20230722_SUPT_0260,0260 PAL-STR Gaba-Chol_2,1.0000,CS20230722_CLUS_0933,0933 PAL-STR Gaba-Chol_2,586,0.8100
Q5_C02_Plate_Q5_144,CS20230722_CLAS_11,11 CNU-HYa GABA,0.1600,CS20230722_SUBC_078,078 SI-MA-ACB Ebf1 Bnc2 Gaba,0.4100,CS20230722_SUPT_0365,0365 SI-MA-ACB Ebf1 Bnc2 Gaba_2,0.9300,CS20230722_CLUS_1321,1321 SI-MA-ACB Ebf1 Bnc2 Gaba_2,1838,0.8500
Q5_D02_Plate_Q5_144,CS20230722_CLAS_11,11 CNU-HYa GABA,0.9800,CS20230722_SUBC_082,082 CEA-BST Ebf1 Pdyn Gaba,1.0000,CS20230722_SUPT_0384,0384 CEA-BST Ebf1 Pdyn Gaba_1,0.9500,CS20230722_CLUS_1384,1384 CEA-BST Ebf1 Pdyn Gaba_1,1825,1.0000
Q5_E02_Plate_Q5_144,CS20230722_CLAS_11,11 CNU-HYa GABA,1.0000,CS20230722_SUBC_083,083 CEA-BST Rai14 Pdyn Crh Gaba,1.0000,CS20230722_SUPT_0392,0392 CEA-BST Rai14 Pdyn Crh Gaba_1,1.0000,CS20230722_CLUS_1408,1408 CEA-BST Rai14 Pdyn Crh Gaba_1,1821,1.0000
Q5_F02_Plate_Q5_144,CS20230722_CLAS_11,11 CNU-HYa GABA,0.9900,CS20230722_SUBC_082,082 CEA-BST Ebf1 Pdyn Gaba,1.0000,CS20230722_SUPT_0386,0386 CEA-BST Ebf1 Pdyn Gaba_3,1.0000,CS20230722_CLUS_1391,1391 CEA-BST Ebf1 Pdyn Gaba_3,1809,0.9700
