source_label,level,target_name,n_cells,coverage,purity,f1,mean_boot,median_boot
MC-22_unclassified,class,30 Astro-Epen,1,0.0029154518950437317,1.0,0.005813953488372092,1.0,1.0
MC-22_unclassified,class,31 OPC-Oligo,2,0.0058309037900874635,0.2857142857142857,0.011428571428571429,0.97,0.97
MC-22_unclassified,class,33 Vascular,30,0.08746355685131195,0.7692307692307693,0.15706806282722516,0.943,0.945
MC-Isl1,class,01 IT-ET Glut,1,0.005319148936170213,0.037037037037037035,0.009302325581395349,1.0,1.0
MC-Isl1,class,08 CNU-MGE GABA,2,0.010638297872340425,0.08,0.018779342723004695,1.0,1.0
MC-Isl1,class,09 CNU-LGE GABA,4,0.02127659574468085,0.0425531914893617,0.028368794326241138,0.905,0.9099999999999999
MC-Isl1,class,11 CNU-HYa GABA,179,0.9521276595744681,0.14139020537124802,0.24621733149931221,0.9797765363128491,0.99
MC-Isl1,class,31 OPC-Oligo,2,0.010638297872340425,0.2857142857142857,0.02051282051282051,1.0,1.0
MC-01_Nefm_Tac2,subclass,014 LA-BLA-BMA-PA Glut,12,0.03305785123966942,0.46153846153846156,0.061696658097686374,1.0,1.0
MC-01_Nefm_Tac2,subclass,051 Pvalb chandelier Gaba,1,0.0027548209366391185,1.0,0.005494505494505495,1.0,1.0
MC-01_Nefm_Tac2,subclass,057 NDB-SI-MA-STRv Lhx8 Gaba,4,0.011019283746556474,0.2857142857142857,0.021220159151193633,1.0,1.0
MC-01_Nefm_Tac2,subclass,058 PAL-STR Gaba-Chol,2,0.005509641873278237,0.5,0.010899182561307902,1.0,1.0
MC-01_Nefm_Tac2,subclass,062 STR D2 Gaba,9,0.024793388429752067,0.07894736842105263,0.03773584905660377,0.9988888888888889,1.0
MC-01_Nefm_Tac2,subclass,065 IA Mgp Gaba,1,0.0027548209366391185,0.14285714285714285,0.005405405405405406,1.0,1.0
MC-01_Nefm_Tac2,subclass,074 MEA-BST Lhx6 Sp9 Gaba,1,0.0027548209366391185,0.14285714285714285,0.005405405405405406,1.0,1.0
MC-01_Nefm_Tac2,subclass,077 CEA-BST Gal Avp Gaba,7,0.01928374655647383,0.3888888888888889,0.03674540682414698,0.9971428571428572,1.0
MC-01_Nefm_Tac2,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,34,0.09366391184573003,0.07407407407407407,0.0827250608272506,0.9867647058823529,1.0
MC-01_Nefm_Tac2,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,11,0.030303030303030304,0.1746031746031746,0.05164319248826291,0.9718181818181818,0.99
