Sample	Accession	Field[processed data file]	Field[processed data file]	Field[processed data file]
O297	GSM4231795	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O299	GSM4231796	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O301	GSM4231798	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O427	GSM4747578	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O430	GSM4747581	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O433	GSM4747583	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O434	GSM4747584	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O435	GSM4747585	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O439	GSM4747587	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O440	GSM4747588	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O454	GSM4747601	tpm.tsv	tpm_no_QC.tsv	tpm_all.tsv
O59	GSM4231731		tpm_no_QC.tsv	tpm_all.tsv
O114	GSM4231747		tpm_no_QC.tsv	tpm_all.tsv
O138	GSM4231758		tpm_no_QC.tsv	tpm_all.tsv
O139	GSM4231759		tpm_no_QC.tsv	tpm_all.tsv
O211	GSM4231773		tpm_no_QC.tsv	tpm_all.tsv
O218	GSM4231775		tpm_no_QC.tsv	tpm_all.tsv
O220	GSM4231776		tpm_no_QC.tsv	tpm_all.tsv
O221	GSM4231777		tpm_no_QC.tsv	tpm_all.tsv
O246	GSM4231782		tpm_no_QC.tsv	tpm_all.tsv
O251	GSM4231785		tpm_no_QC.tsv	tpm_all.tsv
O282	GSM4231787		tpm_no_QC.tsv	tpm_all.tsv
O300	GSM4231797		tpm_no_QC.tsv	tpm_all.tsv
O303	GSM4231799		tpm_no_QC.tsv	tpm_all.tsv
O304	GSM4231800		tpm_no_QC.tsv	tpm_all.tsv
O305	GSM4231801		tpm_no_QC.tsv	tpm_all.tsv
O424	GSM4747575		tpm_no_QC.tsv	tpm_all.tsv
O425	GSM4747576		tpm_no_QC.tsv	tpm_all.tsv
O426	GSM4747577		tpm_no_QC.tsv	tpm_all.tsv
O429	GSM4747580		tpm_no_QC.tsv	tpm_all.tsv
O450	GSM4747597		tpm_no_QC.tsv	tpm_all.tsv
O26	GSM4231714			tpm_all.tsv
O34	GSM4231717			tpm_all.tsv
O35	GSM4231718			tpm_all.tsv
O43	GSM4747563			tpm_all.tsv
O422	GSM4747573			tpm_all.tsv
O423	GSM4747574			tpm_all.tsv
O428	GSM4747579			tpm_all.tsv
O431	GSM4747582			tpm_all.tsv
O436	GSM4747586			tpm_all.tsv
O441	GSM4747589			tpm_all.tsv
O442	GSM4747590			tpm_all.tsv
O443	GSM4747591			tpm_all.tsv
O444	GSM4747592			tpm_all.tsv
O445	GSM4747593			tpm_all.tsv
O447	GSM4747594			tpm_all.tsv
O448	GSM4747595			tpm_all.tsv
O449	GSM4747596			tpm_all.tsv
O451	GSM4747598			tpm_all.tsv
O452	GSM4747599			tpm_all.tsv
O453	GSM4747600			tpm_all.tsv
