cluster_id	rho_BNST_Male	rho_BNST_FR	rho_BNST_FNR	rho_MeA_Male	rho_MeA_FR	rho_MeA_FNR	rho_POA_Male	rho_POA_FR	rho_POA_FNR	rho_VMH_Male	rho_VMH_FR	rho_VMH_FNR	delta_POA_FR_minus_VMH_FR	delta_POA_Male_minus_POA_FR	delta_BNST_FR_minus_VMH_FR	delta_MeA_FR_minus_VMH_FR	delta_VMH_FR_minus_MeA_FR	delta_VMH_Male_minus_VMH_FR	delta_VMH_FR_minus_BNST_FR	delta_BNST_Male_minus_BNST_FR	label	parent_supertype	mfr	top_anat	top_anat_n
CS20230722_CLUS_4603	0.5157018741530013	0.4809500210855049	0.4955835440827294	0.475080913016796	0.4682488770435744	0.46519968550541013	0.5122979857654312	0.48835577395512986	0.493410352095846	0.49430317487498965	0.48868415123845343	0.49704789212800266	-0.00032837728332357763	0.023942211810301317	-0.0077341301529485484	-0.02043527419487906	0.02043527419487906	0.005619023636536213	0.0077341301529485484	0.0347518530674964	4603 HB Calcb Chol_3	CS20230722_SUPT_1027	0.75	Motor nucleus of trigeminal	333.0
CS20230722_CLUS_4605	0.5538541911920621	0.5201838953679432	0.5358146771527832	0.5088686491945907	0.5036003637708178	0.500533673951667	0.5511297027066813	0.527743648580465	0.5333114540768207	0.5317505965298122	0.5266226351462208	0.5353510901168945	0.0011210134342442002	0.023386054126216305	-0.00643873977827758	-0.023022271375402914	0.023022271375402914	0.005127961383591395	0.00643873977827758	0.033670295824118956	4605 HB Calcb Chol_5	CS20230722_SUPT_1029	0.75	Hypoglossal nucleus	74.0
CS20230722_CLUS_4347	0.7073338102058687	0.684062933691307	0.6989491229108502	0.6676549412292166	0.6677819817004942	0.662186850908087	0.7048290078101884	0.6867311783890038	0.6927856169653873	0.6897142015552697	0.6849225000469443	0.6916929784376794	0.0018086783420594443	0.018097829421184652	-0.0008595663556373312	-0.01714051834645014	0.01714051834645014	0.004791701508325419	0.0008595663556373312	0.023270876514561722	4347 PGRN-PARN-MDRN Hoxb5 Glut_2	CS20230722_SUPT_0974	1.33	Pontine reticular nucleus, caudal part	1.0
CS20230722_CLUS_4604	0.5492713559145205	0.5161648149093653	0.5308105145513955	0.5043326812810506	0.499010479115687	0.4956243192383193	0.5467587377149649	0.5236542387415629	0.529135109858079	0.5270459403450677	0.5223689904922547	0.5304077578459794	0.0012852482493082018	0.023104498973401943	-0.006204175582889437	-0.023358511376567692	0.023358511376567692	0.004676949852812973	0.006204175582889437	0.0331065410051552	4604 HB Calcb Chol_4	CS20230722_SUPT_1028	0.79	Facial motor nucleus	529.0
CS20230722_CLUS_4602	0.5535593558107743	0.5228263757415699	0.5359057718572509	0.5100906899958366	0.5054138958617002	0.5013596217235547	0.5501727183904614	0.5284756457521141	0.5336060048725537	0.5297703726328865	0.52632111913164	0.5325237335873252	0.0021545266204741065	0.021697072638347303	-0.003494743390070165	-0.02090722326993988	0.02090722326993988	0.0034492535012464742	0.003494743390070165	0.03073298006920444	4602 HB Calcb Chol_2	CS20230722_SUPT_1026	0.43	Midbrain reticular nucleus	38.0
CS20230722_CLUS_2761	0.5544998001906315	0.5253582634980738	0.5374483923296642	0.5154241755904134	0.511507823938474	0.5063254946596961	0.551861433586832	0.5306333512861934	0.5345536430354899	0.5349855093804226	0.5316357432850081	0.5373261547617972	-0.001002391998814689	0.021228082300638662	-0.00627747978693427	-0.020127919346534018	0.020127919346534018	0.003349766095414486	0.00627747978693427	0.0291415366925577	2761 RN Spp1 Glut_1	CS20230722_SUPT_0682	2.03	Red nucleus	192.0
CS20230722_CLUS_3091	0.7059997430482265	0.6928565925653359	0.7039599415676365	0.6690252588191221	0.6733034835070754	0.6669621748000625	0.7045737264021982	0.691084147315871	0.6970238365720951	0.6924158977670397	0.6893343700502288	0.6946274722157314	0.0017497772656421828	0.013489579086327197	0.003522222515107143	-0.016030886543153433	0.016030886543153433	0.0030815277168109168	-0.003522222515107143	0.013143150482890609	3091 PAG Pou4f1 Bnc2 Glut_2	CS20230722_SUPT_0736	2.33	Midbrain	15.0
CS20230722_CLUS_4026	0.736020569483619	0.7226955603694031	0.7338425161620615	0.705206347188165	0.7105428433491708	0.7041961198510869	0.7279782756639278	0.7147709834604034	0.7195570405893784	0.7221471259950571	0.7190808852735227	0.724204442759051	-0.004309901813119299	0.013207292203524457	0.0036146750958804263	-0.008538041924351814	0.008538041924351814	0.0030662407215344967	-0.0036146750958804263	0.013325009114215969	4026 PB Evx2 Glut_2	CS20230722_SUPT_0915	2.7	Parabrachial nucleus	13.0
CS20230722_CLUS_4027	0.7399066186327565	0.7259667064387577	0.7364813578693917	0.7114741260718604	0.7154927669121552	0.7090790368858629	0.7310708236925646	0.7183560463929344	0.7234031342033824	0.7287372914708371	0.7257314348199226	0.7306204279636052	-0.007375388426988261	0.01271477729963022	0.00023527161883507564	-0.010238667907767396	0.010238667907767396	0.0030058566509144624	-0.00023527161883507564	0.013939912193998816	4027 PB Evx2 Glut_2	CS20230722_SUPT_0915	0.39	Parabrachial nucleus	27.0
CS20230722_CLUS_2499	0.7371816574963923	0.7238152967869137	0.7349615137019698	0.7084305162802819	0.7127346139253121	0.7075370632115593	0.7298651354638637	0.7179465619467442	0.7229631700582617	0.7276895098168923	0.7247713445608357	0.729327150576612	-0.006824782614091474	0.011918573517119446	-0.0009560477739219975	-0.012036730635523574	0.012036730635523574	0.002918165256056593	0.0009560477739219975	0.013366360709478609	2499 PH-LHA Foxb1 Glut_1	CS20230722_SUPT_0612	0.69	Hypothalamus	21.0
