source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Microglia,subclass,334 Microglia NN,67,1.0,1.0,1.0,0.9828358208955223,1.0
Mossy-Adcyap1,subclass,017 CA3 Glut,27,0.9310344827586207,0.40298507462686567,0.5625,0.997037037037037,1.0
Mossy-Adcyap1,subclass,025 CA2-FC-IG Glut,2,0.06896551724137931,0.14285714285714285,0.09302325581395349,1.0,1.0
Mossy-Cyp26b1,subclass,017 CA3 Glut,35,1.0,0.5223880597014925,0.6862745098039216,0.9997142857142858,1.0
Mossy-Klk8,subclass,017 CA3 Glut,5,0.8333333333333334,0.07462686567164178,0.136986301369863,0.96,0.98
Mossy-Klk8,subclass,045 OB-STR-CTX Inh IMN,1,0.16666666666666666,0.02631578947368421,0.045454545454545456,0.97,0.97
NFOL,subclass,327 Oligo NN,12,1.0,0.13333333333333333,0.23529411764705882,1.0,1.0
Neuroblast 1,subclass,038 DG-PIR Ex IMN,35,0.9210526315789473,0.08413461538461539,0.15418502202643172,1.0,1.0
Neuroblast 1,subclass,045 OB-STR-CTX Inh IMN,3,0.07894736842105263,0.07894736842105263,0.07894736842105263,1.0,1.0
Neuroblast 2,subclass,037 DG Glut,25,0.0700280112044818,0.019054878048780487,0.029958058717795083,0.9784,1.0
Neuroblast 2,subclass,038 DG-PIR Ex IMN,310,0.8683473389355743,0.7451923076923077,0.8020698576972833,0.9958709677419356,1.0
Neuroblast 2,subclass,045 OB-STR-CTX Inh IMN,22,0.06162464985994398,0.5789473684210527,0.11139240506329115,0.98,0.98
OL,subclass,327 Oligo NN,49,1.0,0.5444444444444444,0.7050359712230216,1.0,1.0
OPC,subclass,319 Astro-TE NN,1,0.03333333333333333,0.006097560975609756,0.010309278350515464,0.99,0.99
OPC,subclass,327 Oligo NN,29,0.9666666666666667,0.32222222222222224,0.4833333333333334,0.9648275862068966,0.99
PVM,subclass,330 VLMC NN,1,0.1,0.07142857142857142,0.08333333333333333,1.0,1.0
PVM,subclass,335 BAM NN,9,0.9,1.0,0.9473684210526316,0.9988888888888889,1.0
Pericytes,subclass,332 SMC NN,8,0.5,1.0,0.6666666666666666,1.0,1.0
Pericytes,subclass,333 Endo NN,8,0.5,0.12903225806451613,0.20512820512820512,0.97125,0.975
Radial Glia-like,subclass,038 DG-PIR Ex IMN,1,0.023809523809523808,0.002403846153846154,0.0043668122270742364,1.0,1.0
Radial Glia-like,subclass,319 Astro-TE NN,41,0.9761904761904762,0.25,0.3980582524271844,0.9412195121951219,0.96
VLMC,subclass,330 VLMC NN,13,1.0,0.9285714285714286,0.962962962962963,1.0,1.0
nIPC,subclass,038 DG-PIR Ex IMN,13,0.52,0.03125,0.05895691609977324,1.0,1.0
nIPC,subclass,045 OB-STR-CTX Inh IMN,7,0.28,0.18421052631578946,0.2222222222222222,0.9971428571428572,1.0
nIPC,subclass,319 Astro-TE NN,3,0.12,0.018292682926829267,0.031746031746031744,0.9466666666666667,0.94
nIPC,subclass,326 OPC NN,2,0.08,1.0,0.14814814814814814,0.985,0.985
Astrocytes,supertype,1161 Astro-TE NN_1,45,0.5844155844155844,0.9,0.7086614173228346,0.9646666666666666,1.0
Astrocytes,supertype,1163 Astro-TE NN_3,32,0.4155844155844156,0.9696969696969697,0.5818181818181818,0.921875,0.92
