source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
GABA-2-Foxp2_Adra2a,supertype,0286 STR-PAL Chst9 Gaba_2,87,0.9456521739130435,0.9886363636363636,0.9666666666666666,1.0
GABA-2-Foxp2_Adra2a,cluster,1005 STR-PAL Chst9 Gaba_2,41,0.6833333333333333,1.0,0.8118811881188119,1.0
GABA-20-Gpr101-Gabre,class,11 CNU-HYa GABA,15,1.0,0.010917030567685589,0.02159827213822894,0.98
GABA-20-Gpr101-Gabre,subclass,082 CEA-BST Ebf1 Pdyn Gaba,12,1.0,0.04780876494023904,0.09125475285171103,1.0
GABA-20-Gpr101-Gabre,supertype,0384 CEA-BST Ebf1 Pdyn Gaba_1,6,0.75,0.2222222222222222,0.34285714285714286,0.95
GABA-20-Gpr101-Gabre,cluster,1384 CEA-BST Ebf1 Pdyn Gaba_1,6,0.8571428571428571,0.25,0.3870967741935483,1.0
GABA-21-Vdr-Nts,class,11 CNU-HYa GABA,11,1.0,0.008005822416302766,0.01588447653429603,1.0
GABA-21-Vdr-Nts,subclass,082 CEA-BST Ebf1 Pdyn Gaba,10,1.0,0.0398406374501992,0.07662835249042146,1.0
GABA-21-Vdr-Nts,supertype,0389 CEA-BST Ebf1 Pdyn Gaba_6,9,0.8181818181818182,0.9,0.8571428571428572,1.0
GABA-21-Vdr-Nts,cluster,1403 CEA-BST Ebf1 Pdyn Gaba_6,7,0.7,1.0,0.8235294117647058,1.0
GABA-22-Gal-Avp,class,11 CNU-HYa GABA,30,1.0,0.021834061135371178,0.042735042735042736,1.0
GABA-22-Gal-Avp,subclass,090 BST-MPN Six3 Nrgn Gaba,17,0.5666666666666667,0.85,0.68,1.0
GABA-22-Gal-Avp,supertype,0425 BST-MPN Six3 Nrgn Gaba_6,17,0.5483870967741935,0.8095238095238095,0.6538461538461537,1.0
GABA-22-Gal-Avp,cluster,1316 CEA-BST Gal Avp Gaba_1,7,0.25,1.0,0.4,1.0
GABA-23-Fign-Lrpprc,class,11 CNU-HYa GABA,44,1.0,0.03202328966521106,0.06205923836389281,0.97
GABA-23-Fign-Lrpprc,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,35,0.875,0.23026315789473684,0.36458333333333337,0.99
GABA-23-Fign-Lrpprc,supertype,0373 CEA-AAA-BST Six3 Sp9 Gaba_1,30,0.7317073170731707,0.9090909090909091,0.8108108108108109,1.0
GABA-23-Fign-Lrpprc,cluster,1353 CEA-AAA-BST Six3 Sp9 Gaba_1,9,0.375,1.0,0.5454545454545454,1.0
GABA-24-Fign-Ucn3,class,11 CNU-HYa GABA,33,1.0,0.024017467248908297,0.046908315565031986,1.0
GABA-24-Fign-Ucn3,subclass,074 MEA-BST Lhx6 Sp9 Gaba,33,0.9428571428571428,0.20754716981132076,0.3402061855670103,1.0
GABA-24-Fign-Ucn3,supertype,0351 MEA-BST Lhx6 Sp9 Gaba_5,20,0.625,0.8333333333333334,0.7142857142857143,1.0
GABA-24-Fign-Ucn3,cluster,1257 MEA-BST Lhx6 Sp9 Gaba_5,10,0.4166666666666667,1.0,0.5882352941176471,1.0
GABA-25-Lhx8-Th,class,08 CNU-MGE GABA,47,0.8545454545454545,0.29936305732484075,0.44339622641509435,1.0
GABA-25-Lhx8-Th,subclass,057 NDB-SI-MA-STRv Lhx8 Gaba,50,0.8333333333333334,0.8928571428571429,0.8620689655172413,1.0
GABA-25-Lhx8-Th,supertype,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,21,0.39622641509433965,1.0,0.5675675675675675,1.0
GABA-25-Lhx8-Th,cluster,0901 NDB-SI-MA-STRv Lhx8 Gaba_6,6,0.16666666666666666,1.0,0.2857142857142857,0.9550000000000001
GABA-26-Cbln4-Sst,class,11 CNU-HYa GABA,23,1.0,0.016739446870451237,0.0329277022190408,0.99
GABA-26-Cbln4-Sst,subclass,075 MEA-BST Lhx6 Nr2e1 Gaba,24,1.0,0.22429906542056074,0.366412213740458,1.0
GABA-26-Cbln4-Sst,supertype,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,18,0.75,0.4186046511627907,0.5373134328358209,1.0
GABA-26-Cbln4-Sst,cluster,1280 MEA-BST Lhx6 Nr2e1 Gaba_3,6,0.3333333333333333,0.25,0.28571428571428575,1.0
GABA-27-Lhx6-Nxph2,class,11 CNU-HYa GABA,88,0.967032967032967,0.06404657933042213,0.12013651877133105,0.99
GABA-27-Lhx6-Nxph2,subclass,074 MEA-BST Lhx6 Sp9 Gaba,64,0.7272727272727273,0.4025157232704403,0.5182186234817814,1.0
GABA-27-Lhx6-Nxph2,supertype,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,25,0.30120481927710846,0.5813953488372093,0.39682539682539686,1.0
GABA-27-Lhx6-Nxph2,cluster,1255 MEA-BST Lhx6 Sp9 Gaba_4,11,0.19642857142857142,0.9166666666666666,0.32352941176470584,0.99
GABA-28-Cbln4-Luzp2,class,11 CNU-HYa GABA,16,1.0,0.011644832605531296,0.02302158273381295,0.985
GABA-28-Cbln4-Luzp2,subclass,073 MEA-BST Sox6 Gaba,18,0.9473684210526315,0.1267605633802817,0.2236024844720497,1.0
GABA-28-Cbln4-Luzp2,supertype,0340 MEA-BST Sox6 Gaba_4,15,0.8823529411764706,0.8823529411764706,0.8823529411764706,1.0
GABA-28-Cbln4-Luzp2,cluster,1209 MEA-BST Sox6 Gaba_4,7,0.4666666666666667,1.0,0.6363636363636364,1.0
GABA-29-Prlr-Greb1,class,11 CNU-HYa GABA,56,1.0,0.040756914119359534,0.07832167832167831,1.0
