source_label,level,best_target,n_cells,group_purity,target_purity,f1,median_boot
AAC,class,07 CTX-MGE GABA,6,1.0,0.07894736842105263,0.14634146341463414,1.0
AAC,subclass,052 Pvalb Gaba,5,0.8333333333333334,0.06666666666666667,0.1234567901234568,1.0
AAC,supertype,0206 Pvalb Gaba_2,5,0.8333333333333334,0.06578947368421052,0.12195121951219512,1.0
AAC,cluster,0739 Pvalb Gaba_2,5,0.8333333333333334,0.1388888888888889,0.2380952380952381,1.0
BC,class,07 CTX-MGE GABA,53,1.0,0.6973684210526315,0.8217054263565892,1.0
BC,subclass,052 Pvalb Gaba,52,0.8813559322033898,0.6933333333333334,0.7761194029850748,1.0
BC,supertype,0206 Pvalb Gaba_2,53,0.8983050847457628,0.6973684210526315,0.7851851851851851,1.0
BC,cluster,0739 Pvalb Gaba_2,31,0.7948717948717948,0.8611111111111112,0.8266666666666667,1.0
BIC,class,07 CTX-MGE GABA,17,1.0,0.2236842105263158,0.3655913978494624,1.0
BIC,subclass,052 Pvalb Gaba,18,0.9473684210526315,0.24,0.38297872340425526,1.0
BIC,supertype,0206 Pvalb Gaba_2,18,0.9,0.23684210526315788,0.375,1.0
BIC,cluster,0737 Pvalb Gaba_2,16,0.9411764705882353,0.6956521739130435,0.7999999999999999,1.0
