source_label,level,target_name,n_cells,coverage,purity,f1,mean_boot,median_boot
GABA-38-Sst-Tmtc4,class,07 CTX-MGE GABA,53,0.9636363636363636,0.18996415770609318,0.31736526946107785,0.9669811320754716,0.98
GABA-38-Sst-Tmtc4,class,08 CNU-MGE GABA,1,0.01818181818181818,0.006369426751592357,0.009433962264150945,1.0,1.0
GABA-38-Sst-Tmtc4,class,11 CNU-HYa GABA,1,0.01818181818181818,0.000727802037845706,0.0013995801259622115,0.96,0.96
GABA-39-Sst-Nek7,class,07 CTX-MGE GABA,8,0.6153846153846154,0.02867383512544803,0.054794520547945195,0.9625,0.985
GABA-39-Sst-Nek7,class,08 CNU-MGE GABA,5,0.38461538461538464,0.03184713375796178,0.058823529411764705,0.922,0.95
GABA-4-Foxp2_Htr1f,class,09 CNU-LGE GABA,14,1.0,0.0330188679245283,0.0639269406392694,0.9542857142857143,0.97
GABA-40-Rpb4-Sst,class,07 CTX-MGE GABA,44,1.0,0.15770609318996415,0.2724458204334365,0.9863636363636363,1.0
GABA-41-Moxd1-Pvalb,class,07 CTX-MGE GABA,58,1.0,0.2078853046594982,0.34421364985163205,0.9675862068965517,0.99
GABA-42-Moxd1-Vwc2,class,08 CNU-MGE GABA,28,0.9655172413793104,0.17834394904458598,0.30107526881720426,0.9517857142857142,0.97
GABA-42-Moxd1-Vwc2,class,11 CNU-HYa GABA,1,0.034482758620689655,0.000727802037845706,0.0014255167498218105,0.82,0.82
GABA-43-Crabp1-Etv1,class,08 CNU-MGE GABA,43,0.9772727272727273,0.27388535031847133,0.42786069651741293,0.9793023255813953,1.0
GABA-43-Crabp1-Etv1,class,11 CNU-HYa GABA,1,0.022727272727272728,0.000727802037845706,0.0014104372355430183,0.94,0.94
GABA-44-Pthlh-Pvalb,class,06 CTX-CGE GABA,1,0.011363636363636364,0.001834862385321101,0.00315955766192733,1.0,1.0
GABA-44-Pthlh-Pvalb,class,07 CTX-MGE GABA,86,0.9772727272727273,0.30824372759856633,0.4686648501362398,0.9790697674418605,1.0
GABA-44-Pthlh-Pvalb,class,11 CNU-HYa GABA,1,0.011363636363636364,0.000727802037845706,0.0013679890560875513,0.87,0.87
GABA-45-Lamp5-Hctr2,class,07 CTX-MGE GABA,20,1.0,0.07168458781362007,0.13377926421404682,0.9685,0.98
GABA-46-Lamp5-Kit,class,06 CTX-CGE GABA,164,1.0,0.30091743119266057,0.46262341325811,0.9932926829268293,1.0
GABA-47-Reln-Ndnf,class,06 CTX-CGE GABA,63,1.0,0.11559633027522936,0.20723684210526316,0.9804761904761905,1.0
GABA-48-Reln-Crim1,class,06 CTX-CGE GABA,10,0.12345679012345678,0.01834862385321101,0.03194888178913738,0.942,0.975
GABA-48-Reln-Crim1,class,09 CNU-LGE GABA,2,0.024691358024691357,0.0047169811320754715,0.007920792079207921,0.935,0.935
GABA-48-Reln-Crim1,class,11 CNU-HYa GABA,69,0.8518518518518519,0.05021834061135371,0.09484536082474228,0.9556521739130435,0.97
GABA-49-Npnt-Calca,class,11 CNU-HYa GABA,34,1.0,0.024745269286754003,0.048295454545454544,0.9652941176470589,0.985
GABA-5-Pax6-Enpp2,class,09 CNU-LGE GABA,9,0.47368421052631576,0.02122641509433962,0.04063205417607223,0.9233333333333333,0.9
GABA-5-Pax6-Enpp2,class,11 CNU-HYa GABA,10,0.5263157894736842,0.00727802037845706,0.014357501794687725,0.889,0.925
GABA-50-Chat-Vip,class,06 CTX-CGE GABA,3,0.3333333333333333,0.005504587155963303,0.010830324909747294,1.0,1.0
GABA-50-Chat-Vip,class,08 CNU-MGE GABA,6,0.6666666666666666,0.03821656050955414,0.07228915662650602,1.0,1.0
GABA-51-Vip-Crh,class,06 CTX-CGE GABA,70,1.0,0.12844036697247707,0.22764227642276422,0.9947142857142857,1.0
GABA-52-Calb2-Rgs12,class,06 CTX-CGE GABA,12,1.0,0.022018348623853212,0.04308797127468582,0.9766666666666667,1.0
GABA-53-Htr3a-Kcnc2,class,06 CTX-CGE GABA,75,1.0,0.13761467889908258,0.24193548387096775,0.9933333333333333,1.0
GABA-54-Scng-Kcnc2,class,06 CTX-CGE GABA,70,1.0,0.12844036697247707,0.22764227642276422,0.9904285714285714,1.0
GABA-55-Sncg-Vip,class,06 CTX-CGE GABA,25,1.0,0.045871559633027525,0.08771929824561404,0.9892,1.0
GABA-56-Sncg-Krt73,class,01 IT-ET Glut,1,0.018867924528301886,0.0002929973630237328,0.0005770340450086556,0.92,0.92
GABA-56-Sncg-Krt73,class,06 CTX-CGE GABA,52,0.9811320754716981,0.09541284403669725,0.17391304347826086,0.9973076923076923,1.0
GABA-6-Pax6-Th,class,09 CNU-LGE GABA,1,0.00909090909090909,0.0023584905660377358,0.003745318352059925,0.83,0.83
GABA-6-Pax6-Th,class,11 CNU-HYa GABA,109,0.990909090909091,0.07933042212518195,0.14690026954177896,0.9594495412844036,0.97
GABA-7-Pax6-Cyp26a1,class,09 CNU-LGE GABA,1,0.03333333333333333,0.0023584905660377358,0.004405286343612334,0.81,0.81
GABA-7-Pax6-Cyp26a1,class,11 CNU-HYa GABA,29,0.9666666666666667,0.021106259097525473,0.04131054131054131,0.9744827586206897,0.99
GABA-8-Prkcd-Oprk1,class,11 CNU-HYa GABA,108,1.0,0.07860262008733625,0.14574898785425103,0.9910185185185185,1.0
GABA-9-Prkcd-Ezr,class,11 CNU-HYa GABA,175,1.0,0.12736535662299855,0.22595222724338282,0.9796,1.0
VGLUT1-1-Zic4_Trp73,class,01 IT-ET Glut,14,1.0,0.004101963082332259,0.008170411438576015,0.9792857142857143,0.995
VGLUT1-10-Ermn_Mpped1,class,01 IT-ET Glut,83,1.0,0.024318781130969823,0.047482837528604126,0.9978313253012048,1.0
VGLUT1-11-Cd36_Calb2,class,01 IT-ET Glut,136,1.0,0.039847641371227656,0.07664130741053818,0.9988970588235294,1.0
VGLUT1-12-Gpr101_Grem1,class,01 IT-ET Glut,104,1.0,0.030471725754468208,0.059141313619562125,0.9991346153846153,1.0
VGLUT1-13-Dcn_C1ql2,class,01 IT-ET Glut,101,1.0,0.02959273366539701,0.05748434832100171,0.9994059405940594,1.0
VGLUT1-14-Cartpt_Fam46a,class,01 IT-ET Glut,16,1.0,0.004687957808379725,0.009332166812481772,0.98875,1.0
VGLUT1-15-Fmo1_Rxfp3,class,01 IT-ET Glut,104,1.0,0.030471725754468208,0.059141313619562125,0.9977884615384615,1.0
VGLUT1-16-Fbln1_Il33,class,01 IT-ET Glut,11,0.5,0.0032229709932610606,0.006404657933042212,0.9945454545454545,1.0
VGLUT1-16-Fbln1_Il33,class,04 DG-IMN Glut,11,0.5,1.0,0.6666666666666666,0.94,0.96
VGLUT1-17-Eps8_Cd44,class,01 IT-ET Glut,29,1.0,0.00849692352768825,0.0168506682161534,0.9986206896551725,1.0
VGLUT1-18-Fibcd1_Vit,class,01 IT-ET Glut,24,1.0,0.007031936712569587,0.013965667733488507,0.9954166666666667,1.0
VGLUT1-19-Car12_Celsr1,class,01 IT-ET Glut,294,1.0,0.08614122472897744,0.15861882924197462,0.9979251700680272,1.0
VGLUT1-2-Rspo2_Sema3e,class,01 IT-ET Glut,371,1.0,0.10870202168180486,0.19608879492600423,0.9959299191374663,1.0
VGLUT1-20-Trh_Mdga1,class,01 IT-ET Glut,13,1.0,0.003808965719308526,0.0075890251021599525,1.0,1.0
VGLUT1-21-Trh_Rxfp1,class,01 IT-ET Glut,230,1.0,0.06738939349545854,0.1262695580565468,0.9996521739130434,1.0
VGLUT1-22-Trh_Medag,class,01 IT-ET Glut,252,1.0,0.07383533548198067,0.13751705320600272,0.9978571428571429,1.0
VGLUT1-23-Trh_Kit,class,01 IT-ET Glut,181,1.0,0.05303252270729564,0.10072342793544797,0.9979558011049724,1.0
VGLUT1-24-Trh_Slc23a3,class,01 IT-ET Glut,11,1.0,0.0032229709932610606,0.006425233644859814,1.0,1.0
VGLUT1-25-Plcxd3_Reln,class,01 IT-ET Glut,232,1.0,0.067975388221506,0.12729766803840878,0.990301724137931,1.0
VGLUT1-26-Tac1_Igfbp5,class,01 IT-ET Glut,27,1.0,0.007910928801640784,0.01569767441860465,0.9855555555555555,1.0
VGLUT1-27-Oasl2_Ifit1,class,01 IT-ET Glut,23,1.0,0.006738939349545854,0.013387660069848662,0.9982608695652174,1.0
VGLUT1-28-Grp_Cpne8,class,01 IT-ET Glut,261,1.0,0.07647231174919426,0.14207947740881874,0.9970114942528737,1.0
VGLUT1-29-St8sia2_Cald1,class,01 IT-ET Glut,22,1.0,0.006445941986522121,0.012809315866084425,0.9990909090909091,1.0
VGLUT1-3-Sema5a_Dcn,class,01 IT-ET Glut,79,1.0,0.02314679167887489,0.0452462772050401,0.9969620253164557,1.0
VGLUT1-30-Gsg1l_Prox1,class,01 IT-ET Glut,17,1.0,0.004980955171403457,0.009912536443148687,0.9952941176470589,1.0
VGLUT1-31-Igfn1_Ndst4,class,01 IT-ET Glut,139,1.0,0.04072663346029886,0.07826576576576577,0.9933093525179856,1.0
VGLUT1-32-Mid1_Cdh22,class,01 IT-ET Glut,21,1.0,0.006152944623498389,0.0122306348281887,0.9990476190476191,1.0
VGLUT1-4-Wfs1_Sorcs3,class,01 IT-ET Glut,35,1.0,0.010254907705830648,0.020301624129930394,0.998,1.0
VGLUT1-5-Cbln1_Coch,class,01 IT-ET Glut,21,1.0,0.006152944623498389,0.0122306348281887,0.9976190476190476,1.0
VGLUT1-6-Thrsp_Lamp5,class,01 IT-ET Glut,200,1.0,0.05859947260474656,0.11071132023249378,0.99845,1.0
VGLUT1-7-Bok_Pamr1,class,01 IT-ET Glut,113,1.0,0.033108702021681806,0.06409529211571185,0.9942477876106194,1.0
VGLUT1-8-Sim1_C1ql1,class,01 IT-ET Glut,157,1.0,0.04600058599472605,0.08795518207282912,0.9998089171974522,1.0
VGLUT1-9-Gpx3_Rxfp1,class,01 IT-ET Glut,11,0.7333333333333333,0.0032229709932610606,0.006417736289381563,0.9963636363636365,1.0
VGLUT1-9-Gpx3_Rxfp1,class,02 NP-CT-L6b Glut,4,0.26666666666666666,1.0,0.4210526315789474,1.0,1.0
VGLUT2-1-Trh_Tes,class,13 CNU-HYa Glut,51,1.0,0.04757462686567164,0.09082813891362422,0.9996078431372548,1.0
VGLUT2-10-Grp_Emx2,class,13 CNU-HYa Glut,11,1.0,0.010261194029850746,0.020313942751615882,0.9718181818181818,0.99
VGLUT2-11-Ebf1_Fmod,class,13 CNU-HYa Glut,86,1.0,0.08022388059701492,0.1485319516407599,0.9691860465116279,0.99
